confidence,label,second_level,url,user
99,skyline,"Cities, Towns, & Buildings",106,73
98,horizon,Sky,106,73
98,city,"Cities, Towns, & Buildings",106,73
93,skyscraper,"Cities, Towns, & Buildings",106,73
92,cityscape,"Cities, Towns, & Buildings",106,73
91,human settlement,People,106,73
90,vegetable,Food,110,76
87,dish,Food,110,76
86,food,Food,110,76
84,produce,Food,110,76
61,meal,Food,110,76
55,vegetarian food,Food,110,76
77,structure,Nonbuilding Structures,84,74
74,sport venue,Sports,84,74
36,stadium,"Cities, Towns, & Buildings",84,74
23,sports,Sports,84,74
22,race track,Sports,84,74
20,vehicle,Automotive,84,74
69,sitting,People,194,62
41,image,Art,194,62
36,floor,Rooms,194,62
32,photograph,Art,194,62
26,furniture,Rooms,194,62
25,wood,Materials,194,62
22,poster,Reading,124,85
22,text,"Letters, Numbers, Words",124,85
15,advertising,Advertising,124,85
14,cash,Banking,124,85
13,book,Reading,124,85
71,art,Design,120,16
61,design,Design,120,16
54,brand,Retail,120,16
41,wall,Nonbuilding Structures,120,16
39,exhibition,Education,120,16
30,font,"Letters, Numbers, Words",120,16
34,people,People,40,43
38,restaurant,Restaurants,154,96
27,bar,Restaurants,154,96
14,interior design,House,154,96
87,people,Family & Relationships,128,28
36,person,Family & Relationships,128,28
35,family,Family & Relationships,128,28
14,social group,Family & Relationships,128,28
11,photograph,Art,128,28
96,sky,Sky,28,25
87,morning,Time of Day,28,25
85,sunset,Time of Day,28,25
78,cloud,Sky,28,25
77,evening,Time of Day,28,25
76,dawn,Time of Day,28,25
97,vacation,Travel,176,2
86,sea,Body of Water,176,2
84,vehicle,Automotive,176,2
79,boat,Outdoor Recreation,176,2
70,boating,Outdoor Recreation,176,2
23,watercraft,Outdoor Recreation,176,2
93,darkness,Time of Day,159,57
80,light,Electricity & Lighting,159,57
73,night,Time of Day,159,57
64,black,Color,159,57
48,lighting,Electricity & Lighting,159,57
43,shape,Color,159,57
74,people,People,56,29
50,person,People,56,29
46,facial expression,People,56,29
34,smile,People,56,29
32,beauty,Beauty,56,29
31,winter,Seasons,56,29
60,tourism,Travel,3,26
50,vacation,Travel,3,26
36,temple,"Cities, Towns, & Buildings",3,26
35,festival,Holidays,3,26
20,resort,Travel,3,26
15,park,"Cities, Towns, & Buildings",3,26
98,image,Art,17,72
84,photograph,Art,17,72
47,photography,Art,17,72
27,people,People,17,72
17,person,People,17,72
12,portrait,Art,17,72
92,waterfall,Body of Water,171,83
77,adventure,Outdoor Recreation,171,83
65,water feature,Furniture,171,83
42,water,Natural Elements,171,83
42,body of water,Body of Water,171,83
33,river,Body of Water,171,83
21,clothing,Fashion Accessories,10,11
12,glasses,Fashion Accessories,10,11
97,alley,Roads and Bridges,166,26
96,town,Roads and Bridges,166,26
94,road,Roads and Bridges,166,26
94,neighbourhood,House,166,26
92,lane,Roads and Bridges,166,26
90,street,Roads and Bridges,166,26
72,tree,Sky,16,22
59,sky,Sky,16,22
52,evening,Time of Day,16,22
51,morning,Time of Day,16,22
41,sunset,Time of Day,16,22
37,cityscape,Real Estate,16,22
95,bikini,Clothing,2,81
93,sun tanning,Clothing,2,81
89,leg,People,2,81
86,clothing,Clothing,2,81
81,swimwear,Clothing,2,81
68,vacation,Travel,2,81
92,people,People,22,4
69,tree,"Flowers, Plants, Trees",22,4
58,vacation,Travel,22,4
39,walking,People,22,4
31,wilderness,Terrain,22,4
30,hiking,Sports,22,4
78,urban area,Roads and Bridges,174,102
30,art,Art,174,102
28,street,Roads and Bridges,174,102
18,road,Roads and Bridges,174,102
16,night,Time of Day,174,102
14,window,Rooms,174,102
26,shape,Art,74,7
22,image,Art,74,7
18,darkness,Time of Day,74,7
16,food,Food,74,7
34,structure,Nonbuilding Structures,39,42
29,sport venue,Sports,39,42
23,audience,Live Events,39,42
16,sports,Sports,39,42
14,crowd,People,39,42
13,stadium,"Cities, Towns, & Buildings",39,42
95,sea,Body of Water,38,93
95,shore,Body of Water,38,93
89,ocean,Body of Water,38,93
87,horizon,Sky,38,93
82,coast,Body of Water,38,93
79,wave,Body of Water,38,93
51,team,People,79,34
12,person,People,79,34
46,person,People,160,64
34,vacation,Travel,160,64
26,male,People,160,64
25,limb,People,160,64
22,image,Art,160,64
18,beauty,Beauty,160,64
19,presentation,Education,149,1
19,image,Art,149,1
91,face,People,58,0
89,hair,Beauty,58,0
80,nose,People,58,0
74,head,People,58,0
56,moustache,Beauty,58,0
36,facial hair,Beauty,58,0
88,walkway,Roads and Bridges,180,19
81,town,Roads and Bridges,180,19
73,street,Roads and Bridges,180,19
69,neighbourhood,House,180,19
68,city,Roads and Bridges,180,19
62,road,Roads and Bridges,180,19
86,christmas decoration,Holidays,103,71
67,christmas tree,Holidays,103,71
61,tree,"Flowers, Plants, Trees",103,71
61,christmas,Holidays,103,71
53,christmas lights,Holidays,103,71
24,event,Live Events,103,71
62,person,People,96,102
59,art,Art,96,102
54,poster,Art,96,102
36,portrait,Art,96,102
30,album cover,Music,96,102
89,flower,"Flowers, Plants, Trees",65,87
83,floristry,"Flowers, Plants, Trees",65,87
36,floral design,"Flowers, Plants, Trees",65,87
36,flora,"Flowers, Plants, Trees",65,87
34,plant,"Flowers, Plants, Trees",65,87
21,art,Art,65,87
96,floor,Rooms,182,48
92,wood,Materials,182,48
92,flooring,Rooms,182,48
79,hardwood,Rooms,182,48
61,wood flooring,Rooms,182,48
40,laminate flooring,Rooms,182,48
85,street,Roads and Bridges,100,87
84,road,Roads and Bridges,100,87
37,pedestrian,People,100,87
35,infrastructure,Roads and Bridges,100,87
15,crowd,People,100,87
14,city,Roads and Bridges,100,87
59,people,Family & Relationships,14,28
18,fun,Family & Relationships,14,28
15,person,Family & Relationships,14,28
12,social group,Family & Relationships,14,28
11,art,Art,14,28
72,people,Family & Relationships,62,107
48,person,Family & Relationships,62,107
36,interaction,Family & Relationships,62,107
30,woman,Family & Relationships,62,107
16,smile,Family & Relationships,62,107
15,facial expression,Family & Relationships,62,107
87,clothing,Fashion Accessories,31,2
70,purple,Color,31,2
58,hair,Fashion Accessories,31,2
54,brown,Color,31,2
39,pink,Color,31,2
33,fashion accessory,Fashion Accessories,31,2
54,rural area,Real Estate,135,25
46,agriculture,Agriculture,135,25
27,vacation,Travel,135,25
23,tree,Agriculture,135,25
19,farm,Agriculture,135,25
19,grass,Landscaping,135,25
91,person,Family & Relationships,193,22
18,singing,Live Events,193,22
18,conversation,Family & Relationships,193,22
16,speech,Live Events,193,22
12,facial hair,Beauty,193,22
12,profession,Education,193,22
99,sky,Sky,53,11
91,sunset,Time of Day,53,11
86,morning,Time of Day,53,11
83,evening,Time of Day,53,11
82,cloud,Sky,53,11
80,dusk,Time of Day,53,11
93,people,Family & Relationships,153,87
59,person,Family & Relationships,153,87
40,adolescence,Family & Relationships,153,87
24,family,Family & Relationships,153,87
22,smile,Family & Relationships,153,87
16,day,Time of Day,153,87
56,art,Art,146,46
50,food,Food,146,46
31,carving,Art,146,46
31,pattern,Clothing,146,46
21,dessert,Food,146,46
20,wood,Materials,146,46
86,people,People,121,17
67,vacation,Travel,121,17
15,tourism,Travel,121,17
14,tree,"Flowers, Plants, Trees",121,17
14,man,People,121,17
12,person,People,121,17
23,people,People,112,107
15,person,People,112,107
50,animal,Wild Animals,116,19
44,pet,Wild Animals,116,19
26,bird,Wild Animals,116,19
24,mammal,Wild Animals,116,19
15,chicken,Wild Animals,116,19
14,cat,Wild Animals,116,19
98,city,"Cities, Towns, & Buildings",71,23
96,urban area,"Cities, Towns, & Buildings",71,23
96,cityscape,"Cities, Towns, & Buildings",71,23
96,skyline,"Cities, Towns, & Buildings",71,23
95,human settlement,People,71,23
94,downtown,"Cities, Towns, & Buildings",71,23
11,sand,Terrain,89,51
23,photograph,Art,155,16
18,image,Art,155,16
17,people,People,155,16
12,photography,Art,155,16
36,clothing,Clothing,97,14
19,christmas,Holidays,97,14
14,people,People,97,14
13,costume,Clothing,97,14
12,person,People,97,14
23,musical theatre,Live Events,168,47
23,musician,Live Events,168,47
17,performing arts,Live Events,168,47
16,performance art,Live Events,168,47
14,person,People,168,47
11,troop,Military,168,47
33,people,People,183,53
11,winter,Seasons,183,53
37,cycling,Sports,102,23
30,team,People,102,23
23,bicycle,Sports,102,23
22,vehicle,Automotive,102,23
20,sports,Sports,102,23
18,endurance sports,Sports,102,23
89,clothing,Fashion Accessories,93,61
86,costume,Fashion Accessories,93,61
51,glasses,Fashion Accessories,93,61
35,fun,People,93,61
23,festival,Holidays,93,61
19,color,Color,93,61
56,image,Color,172,1
20,art,Color,172,1
16,color,Color,172,1
16,clothing,Clothing,172,1
11,poster,Color,172,1
95,people,Family & Relationships,175,28
43,person,Family & Relationships,175,28
32,family,Family & Relationships,175,28
22,social group,Family & Relationships,175,28
16,adolescence,Family & Relationships,175,28
14,child,Family & Relationships,175,28
80,vehicle,Transportation / Shipping,129,98
27,car,Transportation / Shipping,129,98
20,sports car,Transportation / Shipping,129,98
16,taxi,Transportation / Shipping,129,98
11,traffic,Transportation / Shipping,129,98
11,sedan,Transportation / Shipping,129,98
86,infant,People,4,7
84,child,People,4,7
75,person,People,4,7
73,toddler,People,4,7
71,eating,Food,4,7
60,hand,People,4,7
54,adult,People,184,55
50,presentation,Education,184,55
14,image,Art,184,55
13,person,People,184,55
12,people,People,184,55
93,landmark,Nonbuilding Structures,19,29
80,night,Time of Day,19,29
46,building,"Cities, Towns, & Buildings",19,29
36,place of worship,"Cities, Towns, & Buildings",19,29
33,cathedral,Religious Items,19,29
23,evening,Time of Day,19,29
59,clothing,Clothing,70,46
43,road,Roads and Bridges,70,46
39,fashion,Clothing,70,46
34,lady,People,70,46
30,street,Roads and Bridges,70,46
21,hair,Clothing,70,46
72,mountain,Terrain,49,70
47,mountain range,Terrain,49,70
41,mountainous landforms,Terrain,49,70
41,extreme sport,Outdoor Recreation,49,70
33,sea,Terrain,49,70
28,adventure,Outdoor Recreation,49,70
27,person,People,131,48
14,people,People,131,48
87,wall,Nonbuilding Structures,164,76
84,wood,Nonbuilding Structures,164,76
83,brick,Nonbuilding Structures,164,76
76,color,Color,164,76
60,red,Color,164,76
54,floor,Rooms,164,76
41,sign,Signs & Flags,21,98
37,advertising,Advertising,21,98
22,signage,Signs & Flags,21,98
19,green,Color,21,98
92,person,People,82,71
60,hair,Beauty,82,71
43,adolescence,People,82,71
40,facial expression,People,82,71
33,adult,People,82,71
30,smile,People,82,71
14,people,People,41,43
11,photograph,Art,41,43
23,urban area,"Cities, Towns, & Buildings",141,64
22,architecture,"Cities, Towns, & Buildings",141,64
20,transport,Transportation / Shipping,141,64
18,wall,Nonbuilding Structures,141,64
14,facade,"Cities, Towns, & Buildings",141,64
91,people,Family & Relationships,52,85
49,social group,Family & Relationships,52,85
24,team,Family & Relationships,52,85
20,community,Family & Relationships,52,85
12,family,Family & Relationships,52,85
98,flower,"Flowers, Plants, Trees",32,51
94,blossom,"Flowers, Plants, Trees",32,51
89,tree,"Flowers, Plants, Trees",32,51
88,plant,"Flowers, Plants, Trees",32,51
68,cherry blossom,"Flowers, Plants, Trees",32,51
60,botany,"Flowers, Plants, Trees",32,51
41,drink,Food,44,37
28,wine bottle,Food,44,37
21,brand,Retail,44,37
18,wine,Food,44,37
16,beverage,Food,44,37
15,produce,Food,44,37
98,art gallery,Art,60,48
97,art,Art,60,48
94,exhibition,Education,60,48
93,art exhibition,Art,60,48
93,modern art,Art,60,48
90,tourist attraction,Travel,60,48
63,mountain,Terrain,197,21
62,sea,Terrain,197,21
47,snow,Weather,197,21
40,winter,Seasons,197,21
26,wind,Weather,197,21
25,wilderness,Terrain,197,21
52,clothing,Clothing,94,0
39,design,Color,94,0
27,pattern,Clothing,94,0
15,adult,People,94,0
14,brown,Color,94,0
62,social group,Family & Relationships,157,54
53,musician,Music,157,54
42,people,Family & Relationships,157,54
41,musical theatre,Music,157,54
23,singing,Music,157,54
19,youth,Family & Relationships,157,54
90,town,Real Estate,133,49
63,coast,Body of Water,133,49
50,tourism,Travel,133,49
45,sea,Body of Water,133,49
37,vacation,Travel,133,49
33,cityscape,Real Estate,133,49
98,light,Electricity & Lighting,75,57
98,darkness,Time of Day,75,57
93,lighting,Electricity & Lighting,75,57
81,yellow,Color,75,57
65,night,Time of Day,75,57
56,light fixture,Electricity & Lighting,75,57
60,vacation,Travel,144,50
32,tourism,Travel,144,50
21,construction,Construction,144,50
17,structure,Nonbuilding Structures,144,50
12,travel,Travel,144,50
11,wall,Nonbuilding Structures,144,50
20,sports,Sports,111,58
18,stage,Live Events,111,58
18,performing arts,Live Events,111,58
11,performance art,Live Events,111,58
32,image,Art,24,42
21,painting,Art,24,42
14,person,People,24,42
13,art,Art,24,42
51,musician,Live Events,72,33
22,sports,Sports,72,33
20,performance,Live Events,72,33
17,social group,Family & Relationships,72,33
16,festival,Holidays,72,33
12,music,Live Events,72,33
47,people,Family & Relationships,86,90
30,social group,Family & Relationships,86,90
27,team,Family & Relationships,86,90
16,youth,Family & Relationships,86,90
11,adolescence,Family & Relationships,86,90
94,downtown,"Cities, Towns, & Buildings",29,50
94,tower block,"Cities, Towns, & Buildings",29,50
93,urban area,"Cities, Towns, & Buildings",29,50
92,architecture,"Cities, Towns, & Buildings",29,50
92,skyscraper,"Cities, Towns, & Buildings",29,50
91,city,"Cities, Towns, & Buildings",29,50
71,street,Roads and Bridges,5,64
62,road,Roads and Bridges,5,64
60,urban area,Roads and Bridges,5,64
52,photograph,Color,5,64
41,color,Color,5,64
33,image,Color,5,64
88,person,People,196,79
80,endurance,Outdoor Recreation,196,79
79,running,Outdoor Recreation,196,79
79,athletics,Outdoor Recreation,196,79
77,outdoor recreation,Outdoor Recreation,196,79
71,recreation,Outdoor Recreation,196,79
82,people,Family & Relationships,152,1
62,person,Family & Relationships,152,1
38,family,Family & Relationships,152,1
33,day,Time of Day,152,1
30,child,Family & Relationships,152,1
24,adolescence,Family & Relationships,152,1
91,skyline,"Cities, Towns, & Buildings",114,19
87,city,"Cities, Towns, & Buildings",114,19
77,downtown,"Cities, Towns, & Buildings",114,19
77,human settlement,People,114,19
76,cityscape,"Cities, Towns, & Buildings",114,19
75,residential area,House,114,19
61,person,People,185,28
51,people,People,185,28
32,photograph,Art,185,28
17,man,People,185,28
14,photo shoot,Art,185,28
12,photography,Art,185,28
35,shape,Art,195,100
28,lighting,Electricity & Lighting,195,100
26,man made object,Nonbuilding Structures,195,100
17,table,Furniture,195,100
17,restaurant,Restaurants,195,100
11,drink,Beverages,195,100
60,people,Family & Relationships,117,55
58,play,Outdoor Recreation,117,55
25,family,Family & Relationships,117,55
24,community,Family & Relationships,117,55
82,yellow,Color,34,41
48,lego,Color,34,41
45,toy,Color,34,41
26,play,Outdoor Recreation,34,41
98,night,Time of Day,66,44
96,darkness,Time of Day,66,44
88,house,House,66,44
87,light,Electricity & Lighting,66,44
81,lighting,Electricity & Lighting,66,44
80,evening,Time of Day,66,44
54,food,Food,115,15
22,produce,Food,115,15
16,breakfast,Food,115,15
15,drink,Food,115,15
59,color,Color,78,58
59,screenshot,Color,78,58
33,illustration,Color,78,58
28,red,Color,78,58
24,art,Color,78,58
20,stage,Live Events,78,58
75,beauty,Beauty,150,49
74,phtograph,Art,150,49
74,girl,People,150,49
63,person,People,150,49
62,portrait,Art,150,49
61,lady,People,150,49
89,sky,Sky,138,99
86,road,Roads and Bridges,138,99
81,morning,Time of Day,138,99
73,sunset,Time of Day,138,99
66,dusk,Time of Day,138,99
62,evening,Time of Day,138,99
78,wilderness,Terrain,167,22
63,stream,Terrain,167,22
58,water feature,Furniture,167,22
54,waterfall,Terrain,167,22
54,trail,Outdoor Recreation,167,22
46,forest,Terrain,167,22
60,clothing,Clothing,64,103
33,fashion,Clothing,64,103
17,person,People,64,103
13,lady,People,64,103
11,limb,People,64,103
68,aviation,Aviation,186,84
62,flight,Aviation,186,84
54,vehicle,Aviation,186,84
40,aircraft,Aviation,186,84
29,airplane,Aviation,186,84
29,ultralight aviation,Aviation,186,84
69,community,Family & Relationships,23,53
58,team,Family & Relationships,23,53
50,youth,Family & Relationships,23,53
40,class,Education,23,53
38,people,Family & Relationships,23,53
11,social group,Family & Relationships,23,53
79,red,Color,11,83
75,people,People,11,83
71,person,People,11,83
44,woman,People,11,83
41,marriage,People,11,83
25,female,People,11,83
94,dish,Food,30,99
91,food,Food,30,99
86,breakfast,Food,30,99
76,meal,Food,30,99
69,produce,Food,30,99
62,lunch,Food,30,99
75,vehicle,Automotive,177,70
44,boat,Outdoor Recreation,177,70
27,boating,Outdoor Recreation,177,70
23,watercraft,Outdoor Recreation,177,70
18,ecosystem,Terrain,177,70
16,motorboat,Outdoor Recreation,177,70
97,color,Color,143,100
91,food,Food,143,100
73,dessert,Food,143,100
49,confectionery,Food,143,100
46,sweetness,Food,143,100
46,yellow,Color,143,100
92,people,Family & Relationships,127,42
32,picnic,Outdoor Recreation,127,42
15,community,Family & Relationships,127,42
15,family,Family & Relationships,127,42
11,social group,Family & Relationships,127,42
11,ceremony,Family & Relationships,127,42
83,drink,Food,118,60
68,beverage,Food,118,60
56,food,Food,118,60
26,produce,Food,118,60
15,cocktail,Food,118,60
13,meal,Food,118,60
72,color,Color,63,22
43,art,Color,63,22
13,food,Food,63,22
87,photography,Color,47,39
84,color,Color,47,39
83,image,Color,47,39
81,blue,Color,47,39
79,photograph,Color,47,39
71,portrait,Color,47,39
68,glasses,Fashion Accessories,85,26
47,people,People,85,26
41,sunglasses,Fashion Accessories,85,26
28,image,Art,85,26
84,nose,People,156,55
76,image,Art,156,55
52,head,People,156,55
45,hair,Beauty,156,55
43,facial hair,Beauty,156,55
41,face,People,156,55
95,food,Food,178,97
88,dish,Food,178,97
71,meat,Food,178,97
64,meal,Food,178,97
62,breakfast,Food,178,97
58,lunch,Food,178,97
56,sports,Sports,199,0
45,fitness,Fitness & Wellness,199,0
23,physical exercise,Fitness & Wellness,199,0
12,dance,Art,199,0
40,morning,Seasons,46,18
38,sunlight,Weather,46,18
33,season,Seasons,46,18
33,sunset,Seasons,46,18
30,vacation,Travel,46,18
24,beach,Body of Water,46,18
93,presentation,Education,73,47
69,photomontage,Art,73,47
68,advertising,Advertising,73,47
66,collage,Art,73,47
57,brand,Retail,73,47
36,art,Art,73,47
36,store,Retail,119,89
36,grocery store,Retail,119,89
35,drink,Beverages,119,89
21,bar,Retail,119,89
17,beverage,Beverages,119,89
13,supermarket,Retail,119,89
95,food,Food,33,17
92,dish,Food,33,17
73,meal,Food,33,17
69,breakfast,Food,33,17
50,meat,Food,33,17
49,produce,Food,33,17
52,modern art,Design,136,78
51,glass,Dishware,136,78
48,interior design,House,136,78
33,design,Design,136,78
25,display case,House,136,78
21,window,House,136,78
97,beach,Terrain,104,31
94,shore,Terrain,104,31
91,sea,Terrain,104,31
91,body of water,Terrain,104,31
90,coast,Terrain,104,31
85,sand,Terrain,104,31
97,body of water,Body of Water,8,66
96,beach,Body of Water,8,66
96,horizon,Sky,8,66
95,shore,Body of Water,8,66
90,ocean,Body of Water,8,66
89,sea,Body of Water,8,66
81,performing arts,Live Events,87,87
70,stage,Live Events,87,87
67,performance art,Live Events,87,87
63,musical theatre,Live Events,87,87
63,entertainment,Live Events,87,87
49,audience,Live Events,87,87
96,sea,Body of Water,189,73
91,coast,Body of Water,189,73
90,vacation,Travel,189,73
85,cape,Clothing,189,73
80,ocean,Body of Water,189,73
71,shore,Body of Water,189,73
95,toddler,People,88,13
94,child,People,88,13
70,image,Art,88,13
62,boy,People,88,13
48,person,People,88,13
33,infant,People,88,13
12,art,Art,126,19
77,pet,Pets,25,66
60,dog,Pets,25,66
15,person,People,25,66
94,handwriting,"Letters, Numbers, Words",158,37
94,text,"Letters, Numbers, Words",158,37
68,document,"Letters, Numbers, Words",158,37
62,writing,Education,158,37
43,font,"Letters, Numbers, Words",158,37
16,shape,Art,158,37
91,meal,Food,134,26
82,dinner,Food,134,26
73,supper,Food,134,26
72,people,People,134,26
71,lunch,Food,134,26
69,dish,Food,134,26
69,people,People,151,88
51,person,People,151,88
81,mountain,Terrain,57,69
73,walking,People,57,69
71,adventure,Outdoor Recreation,57,69
61,sea,Terrain,57,69
61,vacation,Travel,57,69
58,rock,"Minerals, Rocks, & Metals",57,69
48,tourism,Travel,191,42
38,blue,Color,191,42
17,vacation,Travel,191,42
16,world,Outer Space,191,42
15,landmark,Nonbuilding Structures,191,42
14,tours,Travel,191,42
94,tree,"Flowers, Plants, Trees",113,49
92,botany,"Flowers, Plants, Trees",113,49
82,garden,Landscaping,113,49
81,flower,"Flowers, Plants, Trees",113,49
75,arecales,"Flowers, Plants, Trees",113,49
69,vacation,Travel,113,49
92,home,House,169,93
92,house,House,169,93
88,facade,"Cities, Towns, & Buildings",169,93
85,window,House,169,93
82,property,"Cities, Towns, & Buildings",169,93
76,wall,Nonbuilding Structures,169,93
96,food,Food,148,15
85,dessert,Food,148,15
25,baking,Food,148,15
20,baked goods,Food,148,15
19,icing,Food,148,15
19,cookies,Food,148,15
88,font,Signs & Flags,98,19
39,text,Signs & Flags,98,19
33,number,Signs & Flags,98,19
17,signage,Signs & Flags,98,19
14,screenshot,Art,98,19
11,illustration,Art,98,19
85,drawing,Design,122,67
78,pattern,Clothing,122,67
58,sketch,Design,122,67
42,design,Design,122,67
38,art,Design,122,67
37,monochrome photography,Design,122,67
68,hand,People,35,74
61,fashion accessory,Fashion Accessories,35,74
39,bracelet,Fashion Accessories,35,74
33,jewellery,Fashion Accessories,35,74
31,arm,People,35,74
24,finger,People,35,74
93,graduation,Education,26,5
79,academic dress,Fashion Accessories,26,5
54,clothing,Fashion Accessories,26,5
47,umbrella,Fashion Accessories,26,5
24,mortarboard,Construction,26,5
88,sports,Sports,105,34
81,ball game,Sports,105,34
