age,ethnicity,ethnicity_confidence,gender,gender_confidence,human_confidence,tag_location,url,user
20-29,white,99,female,99,97,"[18, 45, 12, 12]",8001,12
30-39,white,99,male,99,99,"[47, 16, 10, 10]",975,12
20-29,white,99,female,96,99,"[39, 45, 17, 17]",943,12
20-29,white,99,female,99,86,"[19, 45, 18, 17]",943,12
30-39,white,98,male,99,99,"[82, 19, 4, 7]",10401,59
30-39,white,90,male,98,99,"[59, 18, 3, 5]",10401,59
30-39,white,65,male,99,99,"[32, 18, 3, 5]",10401,59
30-39,black or african american,96,male,99,99,"[30, 28, 4, 7]",10401,59
30-39,white,95,male,99,99,"[71, 22, 3, 5]",10401,59
30-39,black or african american,89,male,99,99,"[19, 18, 4, 7]",10401,59
30-39,white,87,male,99,99,"[15, 34, 4, 7]",10401,59
30-39,black or african american,95,male,99,98,"[46, 31, 4, 7]",10401,59
20-29,white,99,male,99,98,"[76, 36, 4, 7]",10401,59
30-39,hispanic or latino,47,male,99,97,"[45, 21, 3, 5]",10401,59
20-29,black or african american,97,male,99,86,"[62, 38, 4, 7]",10401,59
20-29,white,99,male,99,97,"[64, 17, 7, 7]",8045,59
13-19,black or african american,99,male,99,90,"[24, 19, 7, 7]",8045,59
13-19,white,81,male,99,87,"[60, 5, 15, 15]",9742,59
20-29,white,59,female,99,99,"[12, 57, 8, 8]",5727,12
30-39,white,92,female,99,99,"[26, 61, 7, 7]",5727,12
20-29,white,75,female,87,99,"[85, 15, 8, 8]",5727,12
30-39,white,89,female,99,99,"[51, 13, 10, 10]",5727,12
20-29,white,98,male,58,92,"[68, 8, 10, 10]",5727,12
20-29,white,92,female,99,99,"[66, 29, 13, 18]",8248,96
50-59,white,99,female,99,99,"[47, 56, 16, 21]",8248,96
20-29,white,99,male,99,96,"[78, 22, 19, 25]",8248,96
50-59,white,99,male,99,92,"[2, 36, 27, 37]",8248,96
20-29,white,95,female,98,99,"[80, 25, 8, 8]",8616,12
40-49,white,65,male,99,99,"[29, 22, 6, 6]",8616,12
30-39,white,90,female,76,94,"[18, 30, 7, 7]",8616,12
40-49,white,75,male,99,94,"[62, 23, 6, 6]",8616,12
30-39,white,89,male,99,91,"[44, 23, 6, 6]",8616,12
20-29,white,74,male,65,84,"[25, 2, 12, 12]",6179,12
20-29,white,98,female,99,99,"[43, 11, 17, 17]",9892,12
13-19,white,94,female,99,99,"[23, 27, 27, 37]",1798,98
0-12,white,99,female,99,98,"[48, 19, 27, 37]",1798,98
50-59,white,85,male,95,95,"[8, 27, 6, 8]",1798,98
13-19,white,96,female,99,99,"[45, 32, 6, 4]",10180,98
30-39,white,96,male,99,99,"[53, 29, 7, 5]",10180,98
13-19,white,98,female,98,94,"[30, 28, 9, 12]",8445,98
30-39,white,62,male,85,85,"[19, 35, 25, 20]",13161,98
13-19,white,99,female,99,99,"[50, 41, 12, 12]",47,98
0-12,white,97,female,99,99,"[65, 61, 7, 10]",78,98
20-29,white,99,female,99,99,"[36, 53, 8, 12]",78,98
20-29,white,67,female,99,97,"[52, 59, 6, 8]",78,98
30-39,white,93,female,99,95,"[20, 54, 8, 12]",78,98
30-39,white,81,male,97,94,"[82, 14, 6, 6]",7633,12
30-39,white,89,female,92,81,"[62, 18, 6, 6]",7633,12
30-39,white,93,female,99,99,"[51, 34, 6, 5]",3206,38
20-29,hispanic or latino,52,female,99,99,"[39, 32, 7, 6]",3206,38
0-12,white,81,female,98,98,"[61, 36, 6, 5]",3206,38
13-19,white,98,female,99,99,"[33, 15, 16, 21]",3050,98
20-29,white,99,female,99,99,"[53, 15, 16, 21]",3050,98
20-29,white,93,female,78,99,"[37, 45, 7, 5]",12887,98
30-39,white,98,female,99,99,"[41, 26, 6, 4]",12887,98
20-29,white,98,female,99,99,"[36, 43, 4, 6]",2744,98
30-39,asian,96,female,99,99,"[53, 43, 4, 6]",2744,98
20-29,white,90,female,92,95,"[45, 43, 4, 6]",2744,98
30-39,white,58,female,99,99,"[23, 35, 5, 7]",7766,98
30-39,white,99,female,97,99,"[31, 40, 6, 8]",7766,98
20-29,white,86,female,99,99,"[12, 32, 6, 8]",7766,98
30-39,white,97,female,99,99,"[39, 35, 5, 7]",7766,98
20-29,asian,72,female,96,99,"[68, 33, 5, 7]",7766,98
20-29,white,99,female,99,98,"[40, 48, 5, 7]",7766,98
20-29,white,69,female,64,68,"[46, 36, 5, 7]",7766,98
13-19,white,86,female,99,99,"[39, 32, 15, 12]",123,98
20-29,white,99,female,99,99,"[27, 36, 12, 10]",123,98
20-29,white,98,female,99,98,"[43, 10, 12, 10]",11339,98
