user,url
38,10675
38,11076
38,14239
38,472
38,1882
38,11114
38,2552
38,2009
38,4746
38,891
38,12276
38,8654
38,6416
38,4583
38,8350
38,434
38,13179
38,9794
38,4027
38,8164
38,12262
38,14643
38,1022
38,3881
38,3926
38,3835
38,14294
38,13480
38,7957
38,5938
38,5607
38,11462
38,10653
38,14992
38,489
38,866
38,9763
38,6730
38,11576
38,8978
38,372
38,6814
38,28
38,10052
38,2151
38,4193
38,10082
38,13469
38,64
38,10194
38,10179
38,4993
38,9265
38,12202
38,4249
38,14435
38,1567
38,3054
38,8197
38,770
38,8449
38,7502
38,13646
38,14320
38,14477
38,12025
38,102
38,1228
38,4604
38,14378
38,1740
38,4148
38,10084
38,13488
38,7339
38,2502
38,11598
38,10541
38,10187
38,3863
38,8512
38,9173
38,7958
38,7925
38,6052
38,4177
38,3732
38,2436
38,5749
38,1874
38,8327
38,3596
38,14353
38,5180
38,4416
38,14985
38,7399
38,10094
38,4538
38,12167
38,5880
38,1389
38,1006
38,12719
38,2977
38,10887
38,2541
38,10193
38,1599
38,7852
38,2652
38,13720
38,3954
38,12840
38,5545
38,6250
83,3218
83,3946
83,10505
83,11224
83,4215
83,5512
83,8313
83,4450
83,10181
83,4721
83,13485
83,2523
83,14722
83,14752
83,4990
83,10978
83,13560
83,12764
83,13130
83,3780
83,7107
83,13606
83,8178
83,1368
83,12733
83,12557
83,13243
83,12246
83,506
83,3916
83,13815
83,11659
83,14540
83,11132
83,11886
83,4687
83,4863
83,14919
83,12668
83,203
83,7392
83,6966
83,13945
83,1467
83,12789
83,4929
83,12830
83,54
83,2186
83,6236
83,3154
83,6606
83,7379
83,14426
83,7484
83,14914
83,7147
83,7312
83,1462
83,13526
83,9438
83,2406
83,12746
83,11486
83,13280
83,11028
83,9371
83,7049
83,1766
83,11539
83,5365
83,5161
83,13727
83,586
83,4963
83,9514
83,14659
83,463
83,2838
83,13227
83,8644
83,9119
83,4105
83,12928
83,3292
83,7967
83,8842
83,1609
83,9643
83,979
83,1855
83,5526
83,12046
83,10387
83,5303
83,14147
83,1848
83,7491
83,7819
83,650
83,5077
83,8220
83,3503
83,2243
83,307
83,5415
83,52
83,9182
83,6799
83,1704
83,3109
83,8061
83,1835
83,3383
83,3909
83,9256
83,208
83,2092
83,13724
83,15020
83,12247
83,14005
83,10700
83,2160
83,12208
83,4225
83,12823
83,14733
83,14040
83,9963
83,8487
83,4829
83,2693
83,8385
83,10454
83,11398
83,14310
83,3202
83,8870
83,6775
83,8643
83,5194
83,10015
83,2236
83,6563
83,9553
83,10490
83,5226
83,6592
83,12622
11,7276
11,4076
11,13040
11,7032
11,11691
11,12613
11,13098
11,2333
11,5355
11,4652
11,4393
11,8731
11,6523
11,11047
11,9617
11,14534
11,11574
11,14070
11,11098
11,13866
11,7728
11,7408
11,4692
11,13087
11,14234
11,1146
11,7890
11,4003
11,6624
11,3015
11,14476
11,15008
11,9501
11,3433
11,1247
11,6756
11,1905
11,3961
11,6694
11,6273
11,2984
11,973
11,10139
11,10911
11,12180
11,6076
11,4965
11,11707
11,13900
11,1748
11,4688
11,3226
11,9181
11,4971
11,4011
11,5065
11,12851
11,1812
11,3687
11,13555
11,14261
11,8337
11,7044
11,4127
11,14975
11,14649
11,5086
11,5301
11,3858
11,5445
11,11616
11,3959
11,11648
11,10
11,77
11,6842
11,3977
11,6154
11,992
11,8431
11,6692
11,12976
11,9023
11,10249
11,4805
11,8894
11,10191
11,6253
11,13827
11,11275
11,9960
11,2122
11,4587
11,11857
11,14570
11,10973
11,13196
11,39
11,9287
11,5793
11,14788
11,9847
11,13173
11,485
11,13151
11,887
11,9451
11,2056
11,1889
11,10367
11,3569
11,4183
11,14571
11,5604
11,10941
11,9499
11,13277
11,14850
11,13990
11,9797
11,7644
11,9816
11,9456
11,6926
11,14199
11,13897
11,13264
11,11205
11,10916
11,6364
11,5435
11,3482
11,9822
11,8801
11,4075
11,7658
11,3393
11,6211
11,6867
11,13639
11,7220
11,12229
11,12398
11,3510
11,9513
11,7229
11,4557
11,7564
11,6655
11,4715
58,942
58,2201
58,12386
58,10607
58,454
58,2352
58,6351
58,10334
58,13837
58,6862
58,2950
58,4511
58,13329
58,14031
58,9804
58,13182
58,14698
58,13152
58,1876
58,5371
58,6989
58,8885
58,2041
58,8940
58,12960
58,5334
58,3563
58,12194
58,11331
58,10318
58,10039
58,10845
58,14397
58,2131
58,3945
58,684
58,2548
58,7630
58,13571
58,4792
58,14440
58,2405
58,13681
58,12446
58,7534
58,8898
58,2563
58,5606
58,14573
58,516
58,11614
58,13957
58,11511
58,12522
58,14585
58,14541
58,14729
58,13235
58,10681
58,13769
58,6436
58,4860
58,10287
58,12416
58,6938
58,5290
58,5013
58,10672
58,11141
58,5834
58,12444
58,10257
58,6167
58,5637
58,5542
58,13874
58,7940
58,815
58,14489
58,1988
58,11284
58,6341
58,10759
58,13120
58,9764
58,4766
